iter	Passed	Remaining
901	5300	575
902	5312	570
903	5315	564
904	5320	558
905	5334	553
906	5337	547
907	5344	541
908	5346	535
909	5349	529
910	5352	522
911	5354	516
912	5358	510
913	5362	504
914	5395	501
915	5400	495
916	5405	489
917	5407	483
918	5410	476
919	5412	470
920	5418	464
921	5421	458
922	5432	453
923	5436	447
924	5438	440
925	5448	435
926	5451	429
927	5471	424
928	5476	418
929	5478	412
930	5480	406
931	5483	400
932	5485	393
933	5489	387
934	5492	381
935	5495	375
936	5502	369
937	5511	364
938	5514	358
939	5517	352
940	5522	346
941	5525	340
942	5527	334
943	5531	328
944	5541	322
945	5543	316
946	5548	310
947	5555	304
948	5558	298
949	5560	292
950	5568	286
951	5571	280
952	5577	275
953	5590	269
954	5593	263
955	5601	257
956	5605	251
957	5607	245
958	5623	240
959	5625	234
960	5627	228
961	5632	222
962	5637	216
963	5639	210
964	5664	205
965	5667	199
966	5670	193
967	5673	187
968	5679	181
969	5681	175
970	5685	169
971	5687	163
972	5700	158
973	5707	152
974	5711	146
975	5713	140
976	5716	134
977	5719	128
978	5728	122
979	5731	116
980	5733	111
981	5738	105
982	5743	99
983	5745	93
984	5747	87
985	5753	81
986	5766	75
987	5770	70
988	5778	64
989	5799	58
990	5803	52
991	5810	46
992	5814	40
993	5819	35
994	5822	29
995	5826	23
996	5828	17
997	5830	11
998	5838	5
999	5840	0
